Date,Open,High,Low,Close,Adj Close,Volume
2012-10-26,58846.152344,59076.921875,54769.230469,56076.921875,53823.777344,536895
2012-10-29,56307.691406,58000.000000,55846.152344,56153.847656,53897.613281,405109
2012-10-30,56153.847656,59153.847656,55153.847656,59153.847656,56777.074219,442640
2012-10-31,59923.078125,60461.539063,56307.691406,56923.078125,54635.933594,606795
2012-11-01,57076.921875,58769.230469,56461.539063,57923.078125,55595.761719,425138
2012-11-02,58846.152344,59230.769531,57076.921875,58153.847656,55817.253906,286982
2012-11-05,58461.539063,61384.617188,57923.078125,60153.847656,57736.890625,546676
2012-11-06,60769.230469,61000.000000,58846.152344,60076.921875,57663.058594,325415
2012-11-07,60923.078125,62692.308594,60615.382813,61769.230469,59287.371094,685774
2012-11-08,59692.308594,60076.921875,58076.921875,58153.847656,55817.253906,517608
2012-11-09,58384.617188,58769.230469,56538.460938,57307.691406,55005.093750,237587
2012-11-12,58384.617188,59384.617188,57692.308594,58846.152344,56481.738281,273598
2012-11-13,59000.000000,59000.000000,56923.078125,57153.847656,54857.433594,307708
2012-11-14,57307.691406,57923.078125,48615.382813,49230.769531,47252.699219,1072583
2012-11-15,46384.617188,47846.152344,43615.382813,45923.078125,44077.914063,1504098
2012-11-16,46384.617188,48000.000000,44307.691406,46769.230469,44890.066406,918384
2012-11-19,46692.308594,47307.691406,44923.078125,44923.078125,43118.089844,523960
2012-11-20,45384.617188,45692.308594,41307.691406,43846.152344,42084.437500,850546
2012-11-21,44000.000000,47846.152344,43461.539063,46076.921875,44225.574219,982009
2012-11-22,46230.769531,46538.460938,44923.078125,44923.078125,43118.089844,423509
2012-11-23,45000.000000,46230.769531,43230.769531,44923.078125,43118.089844,379496
2012-11-26,46076.921875,46153.847656,43846.152344,43846.152344,42084.437500,265801
2012-11-27,44461.539063,44846.152344,43538.460938,43615.382813,41862.937500,234338
2012-11-28,44153.847656,45692.308594,43615.382813,45384.617188,43561.082031,274418
2012-11-29,45692.308594,46384.617188,44307.691406,44461.539063,42675.089844,250695
2012-11-30,45384.617188,45923.078125,44923.078125,45153.847656,43339.585938,246329
2012-12-03,45692.308594,46846.152344,45230.769531,46384.617188,44520.906250,352116
2012-12-04,46000.000000,47538.460938,45769.230469,47076.921875,45185.394531,254498
2012-12-05,47000.000000,47307.691406,46230.769531,46307.691406,44447.070313,191922
2012-12-06,46692.308594,46769.230469,41615.382813,43230.769531,41493.781250,543530
2012-12-07,43153.847656,44076.921875,41615.382813,43384.617188,41641.449219,252049
2012-12-10,43307.691406,44384.617188,42538.460938,44076.921875,42305.933594,182107
2012-12-11,43692.308594,43923.078125,42923.078125,43000.000000,41272.281250,149703
2012-12-12,43076.921875,45307.691406,42923.078125,45307.691406,43487.253906,298620
2012-12-13,45384.617188,46538.460938,45230.769531,46384.617188,44520.906250,241649
2012-12-14,46615.382813,48384.617188,46307.691406,47615.382813,45702.222656,297918
2012-12-17,48076.921875,48615.382813,46769.230469,47000.000000,45111.562500,154086
2012-12-18,47538.460938,47615.382813,45538.460938,46153.847656,44299.406250,133198
2012-12-20,46076.921875,46307.691406,43923.078125,43923.078125,42158.269531,181067
2012-12-21,43923.078125,45076.921875,43923.078125,44384.617188,42601.261719,156452
2012-12-24,44846.152344,47461.539063,44846.152344,47076.921875,45185.394531,260511
2012-12-26,47846.152344,48461.539063,45769.230469,45769.230469,43930.246094,231491
2012-12-27,46384.617188,48153.847656,45769.230469,47076.921875,45483.523438,311120
2012-12-28,47615.382813,47615.382813,46769.230469,47307.691406,45706.476563,135733
2013-01-02,48230.769531,48615.382813,47153.847656,48000.000000,46375.355469,247697
2013-01-03,48076.921875,49923.078125,46769.230469,49538.460938,47861.746094,486391
2013-01-04,49615.382813,51538.460938,48923.078125,51384.617188,49645.414063,454480
2013-01-07,52076.921875,55692.308594,52000.000000,55307.691406,53435.703125,853167
2013-01-08,54692.308594,57076.921875,54153.847656,54384.617188,52543.875000,440560
2013-01-09,54384.617188,56461.539063,54307.691406,56000.000000,54104.578125,314543
2013-01-10,56769.230469,57461.539063,55000.000000,55769.230469,53881.621094,285848
2013-01-11,56000.000000,58615.382813,53846.152344,55923.078125,54030.257813,608207
2013-01-14,56384.617188,56384.617188,54384.617188,54538.460938,52692.507813,178751
2013-01-15,54615.382813,55307.691406,52692.308594,52692.308594,50908.843750,191944
2013-01-16,53076.921875,54461.539063,52076.921875,53846.152344,52023.632813,177220
2013-01-17,53846.152344,54615.382813,52384.617188,52846.152344,51057.476563,150237
2013-01-18,53230.769531,53461.539063,52076.921875,52846.152344,51057.476563,125102
2013-01-21,52923.078125,55153.847656,52615.382813,54692.308594,52841.148438,221586
2013-01-22,55076.921875,55692.308594,54076.921875,54384.617188,52543.875000,134641
2013-01-23,54538.460938,54615.382813,50923.078125,51076.921875,49348.132813,321740
2013-01-24,51230.769531,52384.617188,51000.000000,51000.000000,49273.812500,176504
2013-01-25,51153.847656,52000.000000,50538.460938,51076.921875,49348.132813,90719
2013-01-28,50692.308594,51769.230469,47769.230469,48076.921875,46449.671875,279809
2013-01-29,48307.691406,48846.152344,46692.308594,47384.617188,45780.800781,331845
2013-01-30,47461.539063,48538.460938,47461.539063,47692.308594,46078.078125,133072
2013-01-31,47384.617188,48923.078125,47076.921875,48153.847656,46523.996094,102944
2013-02-01,47923.078125,48384.617188,46384.617188,47461.539063,45855.117188,131767
2013-02-04,47692.308594,48615.382813,47461.539063,48615.382813,46969.910156,95610
2013-02-05,48153.847656,48692.308594,47615.382813,48076.921875,46449.671875,67890
2013-02-06,48538.460938,49461.539063,48000.000000,49076.921875,47415.824219,100832
2013-02-07,48307.691406,49153.847656,47769.230469,47923.078125,46301.035156,109474
2013-02-08,47692.308594,49615.382813,47307.691406,49230.769531,47564.468750,110252
2013-02-12,48923.078125,49769.230469,48769.230469,49000.000000,47341.511719,67476
2013-02-13,49230.769531,51000.000000,49153.847656,50000.000000,48307.660156,182688
2013-02-14,50230.769531,50307.691406,49307.691406,49769.230469,48084.703125,98285
2013-02-15,50000.000000,50769.230469,48692.308594,49076.921875,47415.824219,184414
2013-02-18,49076.921875,49769.230469,48538.460938,48923.078125,47267.191406,82842
2013-02-19,48846.152344,50307.691406,48461.539063,50153.847656,48456.300781,172528
2013-02-20,50769.230469,52307.691406,50076.921875,52307.691406,50537.242188,279752
2013-02-21,52461.539063,53230.769531,51230.769531,51307.691406,49571.093750,206779
2013-02-22,51307.691406,52538.460938,46769.230469,46769.230469,45186.246094,538131
2013-02-25,47230.769531,48692.308594,47230.769531,48230.769531,46598.312500,408605
2013-02-26,47923.078125,49230.769531,47923.078125,48384.617188,46746.949219,150249
2013-02-27,48846.152344,50615.382813,48230.769531,50230.769531,48530.621094,209279
2013-02-28,50538.460938,52000.000000,49692.308594,51461.539063,49719.730469,232388
2013-03-04,51153.847656,52230.769531,50076.921875,51538.460938,49794.046875,272337
2013-03-05,52615.382813,54153.847656,52461.539063,53692.308594,51875.000000,380136
2013-03-06,54153.847656,54384.617188,52461.539063,53769.230469,51949.316406,206418
2013-03-07,53769.230469,53923.078125,51615.382813,52307.691406,50537.242188,196403
2013-03-08,52384.617188,54923.078125,52384.617188,54846.152344,52989.789063,375162
2013-03-11,55846.152344,56230.769531,54384.617188,55461.539063,53584.343750,399235
2013-03-12,55769.230469,56000.000000,54923.078125,55384.617188,53510.023438,169842
2013-03-13,55230.769531,57230.769531,54846.152344,56538.460938,54624.812500,292755
2013-03-14,56769.230469,57076.921875,55538.460938,56307.691406,54401.851563,191773
2013-03-15,56307.691406,56615.382813,55307.691406,56538.460938,54624.812500,157780
2013-03-18,56153.847656,56846.152344,55230.769531,55230.769531,53361.386719,118110
2013-03-19,55692.308594,57076.921875,55692.308594,57076.921875,55145.050781,190042
2013-03-20,57384.617188,57692.308594,55769.230469,56923.078125,54996.414063,174850
2013-03-21,57461.539063,58230.769531,56692.308594,56769.230469,54847.773438,177440
2013-03-22,56615.382813,58230.769531,56384.617188,57923.078125,55962.570313,157949
2013-03-25,58076.921875,58076.921875,55153.847656,55769.230469,53881.621094,266639
2013-03-26,55384.617188,55923.078125,53461.539063,54461.539063,52618.191406,296414
2013-03-27,54153.847656,55461.539063,53230.769531,54615.382813,52766.828125,208087
2013-03-28,54692.308594,55846.152344,54692.308594,55846.152344,53955.941406,112516
2013-03-29,55769.230469,56076.921875,54769.230469,55307.691406,53435.703125,151017
2013-04-01,55615.382813,55692.308594,54307.691406,54307.691406,52469.554688,114037
2013-04-02,55000.000000,57384.617188,54923.078125,57230.769531,55293.691406,307932
2013-04-03,57923.078125,58461.539063,57307.691406,58076.921875,56111.207031,232349
2013-04-04,57615.382813,58461.539063,55384.617188,58461.539063,56482.804688,289055
2013-04-05,58692.308594,59076.921875,55923.078125,56230.769531,54327.539063,304642
2013-04-08,56615.382813,57307.691406,52846.152344,53230.769531,51429.082031,296011
2013-04-09,52615.382813,54923.078125,51307.691406,54769.230469,52915.468750,250485
2013-04-10,54769.230469,55692.308594,53846.152344,54846.152344,52989.789063,149298
2013-04-11,55769.230469,57692.308594,55692.308594,57615.382813,55665.285156,304880
2013-04-12,58461.539063,59230.769531,56692.308594,57615.382813,55665.285156,623256
2013-04-15,62230.769531,66153.843750,61538.460938,65384.617188,63171.558594,2489277
2013-04-16,67153.843750,69230.765625,66538.460938,66615.382813,64360.664063,2586560
2013-04-17,67923.078125,68076.921875,62461.539063,64846.152344,62651.316406,1580817
